game,for,qtr1_for,qtr2_for,qtr3_for,qtr4_for,against,qtr1_against,qtr2_against,qtr3_against,qtr4_against,fouls,points_diff,result,season,opp
1,41,11,11,8,11,40,12,8,11,9,12,1,W,2023/2,BNB
2,39,6,12,17,4,38,10,7,12,9,8,1,W,2023/2,SPACE
3,53,9,9,17,18,46,11,12,7,16,14,7,W,2023/2,BASKETBOYZ
4,40,15,9,6,10,31,8,2,12,9,7,9,W,2023/2,PROSPECTS1
5,51,16,8,9,18,46,9,10,20,7,6,5,W,2023/2,PROSPECTS2
6,51,11,17,13,10,60,9,21,16,14,12,-9,L,2023/2,HASBEENS
7,43,10,9,12,12,46,8,14,17,7,16,-3,L,2023/2,SPACE
8,43,14,12,11,6,38,4,0,16,18,7,5,W,2023/2,SOUTHSIDETHUNDER
9,50,,,,,47,,,,,,3,W,2023/1,ICECOLD2023
10,38,,,,,33,,,,,,5,W,2023/1,TIGERS
11,40,,,,,26,,,,,,14,W,2023/1,TIGERS
12,71,15,17,20,19,29,7,6,9,7,11,42,W,2023/1,GREENMACHINE
13,59,14,11,15,19,40,6,14,11,9,7,19,W,2023/1,TMD
14,83,18,20,9,36,46,7,8,15,16,7,37,W,2023/1,RIMSHOT
15,38,11,6,10,11,51,7,16,17,11,13,-13,L,2023/1,ICECOLD2023
16,90,23,15,29,23,33,7,9,6,11,8,57,W,2023/1,TUNESQUAD
17,54,10,13,16,15,26,8,5,6,7,8,28,W,2023/1,THERIZZARDS
18,51,13,11,12,15,35,8,8,9,10,5,16,W,2023/1,SENIORDISCO
19,71,,,,,30,,,,,,41,W,2023/1,YESCHEF
20,59,12,16,16,15,28,8,4,8,8,8,31,W,2023/1,GOATS
21,55,9,26,8,12,41,11,12,11,7,6,14,W,2023/1,TIGERS
22,66,14,11,13,28,30,5,4,4,17,15,36,W,2023/1,GREENMACHINE
23,61,9,16,9,27,40,9,4,12,15,7,21,W,2023/1,TMD
24,94,16,29,18,31,37,6,9,12,10,4,57,W,2023/1,RIMSHOT
25,40,3,9,13,15,28,8,5,8,7,12,12,W,2023/1,ICECOLD2023
26,40,7,13,11,9,32,7,5,8,12,7,8,W,2023/1,SENIORDISCO
27,58,11,14,11,22,60,16,18,9,17,16,-2,L,2023/1,FIRESTORM
