minute,game1_off,game1_def,game2_off,game2_def,game3_off,game3_def,game4_off,game4_def,game5_off,game5_def,game6_off,game6_def,game7_off,game7_def,game8_off,game8_def,game9_off,game9_def,game10_off,game10_def,game11_off,game11_def,game12_off,game12_def,game13_off,game13_def,game14_off,game14_def,game15_off,game15_def,game16_off,game16_def,game17_off,game17_def,game18_off,game18_def,game19_off,game19_def,game20_off,game20_def,game21_off,game21_def,game22_off,game22_def,game23_off,game23_def,game24_off,game24_def,game25_off,game25_def,game26_off,game26_def,game27_off,game27_def,game28_off,game28_def
1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
2,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,2,,,,,,,0,2,4,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2
3,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
4,2,2,0,0,0,0,0,2,0,2,2,2,0,0,2,0,,,,,,,3,0,0,2,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
5,0,0,0,2,0,3,0,0,0,0,3,0,0,0,0,0,,,,,,,3,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0
6,3,2,0,2,0,0,8,2,0,2,3,0,0,2,5,0,,,,,,,0,3,3,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
7,1,0,2,0,3,2,2,0,2,0,0,0,5,2,3,0,,,,,,,0,2,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
8,0,2,2,2,3,0,2,2,0,0,0,0,0,0,0,0,,,,,,,2,0,2,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
9,3,0,0,2,0,0,0,0,6,0,0,1,0,2,4,2,,,,,,,2,0,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2
10,2,6,2,0,0,4,3,2,8,5,3,0,5,0,0,0,,,,,,,5,0,2,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
11,0,0,3,0,0,2,0,0,0,0,0,2,0,0,3,0,,,,,,,0,2,4,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0
12,0,0,0,0,0,3,0,0,0,0,0,2,0,0,2,0,,,,,,,0,0,2,3,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
13,0,2,0,0,3,0,0,1,0,0,0,0,0,2,0,0,,,,,,,2,0,0,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
14,0,0,0,2,0,0,5,0,0,3,2,3,2,3,3,0,,,,,,,1,0,0,5,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
15,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,,4,2,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
16,2,0,3,3,0,0,2,0,0,0,3,0,0,0,2,0,,,,,,,3,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0
17,4,0,0,0,0,3,0,0,3,0,3,3,0,0,0,0,,,,,,,3,0,0,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0
18,0,2,3,0,3,0,0,1,3,2,4,5,2,2,2,0,,,,,,,0,0,4,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
19,3,2,1,0,3,2,0,0,0,2,5,4,0,0,0,0,,,,,,,2,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
20,2,2,2,0,0,2,2,0,2,3,0,0,5,7,0,0,,,,,,,2,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2
21,0,2,3,0,0,2,0,0,0,0,0,1,0,0,0,4,,,,,,,2,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
22,0,0,5,2,0,0,3,0,0,2,0,2,0,2,0,0,,,,,,,4,0,3,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
23,3,4,0,2,3,0,0,4,0,2,0,2,0,6,0,0,,,,,,,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
24,0,0,1,0,2,0,0,4,0,2,5,2,0,0,0,2,,,,,,,3,1,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0
25,2,0,0,2,0,0,2,0,3,2,3,3,4,0,5,0,,,,,,,3,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
26,1,0,3,0,3,2,0,4,0,0,0,2,0,0,0,2,,,,,,,0,0,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0
27,0,1,3,2,0,0,0,0,3,0,3,2,0,2,3,4,,,,,,,5,4,3,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
28,0,1,0,2,0,3,1,0,0,5,0,0,3,0,0,2,,,,,,,2,2,2,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2
29,2,3,0,2,3,0,0,0,0,0,2,0,0,2,3,2,,,,,,,1,2,2,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0
30,0,0,0,0,6,0,0,0,3,7,0,2,5,5,0,0,,,,,,,0,0,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
31,2,3,0,0,0,1,0,0,3,0,0,0,2,0,0,4,,,,,,,0,0,0,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
32,0,2,0,0,6,4,5,1,2,0,6,2,0,4,0,3,,,,,,,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
33,2,0,1,2,3,0,3,2,3,1,0,0,2,0,0,2,,,,,,,3,2,5,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2
34,0,2,1,0,0,0,0,0,3,2,2,1,0,0,0,1,,,,,,,2,2,0,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
35,3,0,1,0,2,2,0,2,2,2,2,3,3,0,3,2,,,,,,,0,0,3,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
36,0,0,0,2,3,2,0,0,0,2,0,4,0,0,0,0,,,,,,,3,1,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
37,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,,,,,,,0,0,3,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
38,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,,,,,,,7,2,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
39,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,2,,,,,,,2,0,2,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4
40,2,0,1,3,2,7,0,2,2,0,0,1,3,3,0,2,,,,,,,2,0,3,0,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0
